isil,contact_index,contact_type,contact_value,source
IT-BZ0091,3,telefono,+39 0474 710107,contatti.xml
IT-BZ0091,4,url,https://biblio.bz.it/sesto,contatti.xml
IT-BZ0091,5,url,www.sesto.eu/it/Biblioteca_Claus_Gatterer_,contatti.xml
IT-BZ0092,1,e-mail,bibliothek@schlanders.it,contatti.xml
IT-BZ0092,2,pec,schlanders.silandro@legalmail.it,contatti.xml
IT-BZ0092,3,telefono,+39 0473730616,contatti.xml
IT-BZ0092,4,telefono,+39 0473737780,contatti.xml
IT-BZ0092,5,url,www.silandro.it/system/web/default.aspx?menuonr=224921626&sprache=3,contatti.xml
IT-BZ0093,1,e-mail,bibliothek.stilfs@rolmail.net,contatti.xml
IT-BZ0093,2,telefono,+39 0473611550,contatti.xml
IT-BZ0094,1,e-mail,otto@gemeinde.terlan.bz.it,contatti.xml
IT-BZ0094,2,telefono,+39 0471256009,contatti.xml
IT-BZ0096,1,e-mail,bibliothek.tisens@rolmail.net,contatti.xml
IT-BZ0096,2,pec,tisens.tesimo@legalmail.it,contatti.xml
IT-BZ0096,3,telefono,+39 047320968,contatti.xml
IT-BZ0096,4,telefono,+39 0473927091,contatti.xml
IT-BZ0096,5,url,https://www.comune.tesimo.bz.it/it/Biblioteca_pubblica_di_Tesimo,contatti.xml
IT-BZ0097,1,e-mail,bibliothek@gemeinde.tirol.bz.it,contatti.xml
IT-BZ0099,1,e-mail,bibliothek.truden@rolmail.net,contatti.xml
IT-BZ0099,2,pec,truden.trodena@legalmail.it,contatti.xml
IT-BZ0099,3,telefono,+39 0471869521,contatti.xml
IT-BZ0099,4,url,https://www.gemeinde.truden.bz.it/system/web/veranstaltungsstaette.aspx?detailonr=225158273&menuonr=221354660&sprache=3,contatti.xml
IT-BZ0099,5,url,https://biblio.bz.it/trodena,contatti.xml
IT-BZ0101,1,e-mail,bibliothek@olang.net,contatti.xml
IT-BZ0101,2,pec,olang.valdaora@legalmail.it,contatti.xml
IT-BZ0101,3,telefono,+39 0474497112,contatti.xml
IT-BZ0101,4,url,https://biblio.bz.it/olang/,contatti.xml
IT-BZ0101,5,url,http://www.facebook.com/bibliothekolang,contatti.xml
IT-BZ0101,6,url,www.comune.valdaora.bz.it/it/Biblioteca_pubblica_di_Valdaora,contatti.xml
IT-BZ0101,7,url,https://biblio.bz.it/valdaora/,contatti.xml
IT-BZ0105,1,e-mail,bibliothek@gsies.eu,contatti.xml
IT-BZ0105,2,pec,gsies.valledicasies@legalmail.it,contatti.xml
IT-BZ0105,3,telefono,+39 0474978785,contatti.xml
IT-BZ0105,4,url,http://www.gemeinde.gsies.bz.it/it/Biblioteca_Colle,contatti.xml
IT-BZ0106,1,e-mail,bibliothek@gsies.eu,contatti.xml
IT-BZ0106,2,pec,gsies.valledicasies@legalmail.it,contatti.xml
IT-BZ0106,3,telefono,+39 0474978785,contatti.xml
IT-BZ0106,4,url,http://www.gemeinde.gsies.bz.it/it/Biblioteca_S_Maddalena,contatti.xml
IT-BZ0108,1,e-mail,bibliothek@gsies.eu,contatti.xml
IT-BZ0108,2,telefono,+39 0474978785,contatti.xml
IT-BZ0108,3,url,https://www.gsies.eu/de/Bibliothek_St_Martin_2,contatti.xml
IT-BZ0109,1,e-mail,info@abbazianovacella.it,contatti.xml
IT-BZ0109,2,telefono,+39 0472 836189,contatti.xml
IT-BZ0109,3,url,https://www.beweb.chiesacattolica.it/istituticulturali/istituto/774/Biblioteca+dell%27Abbazia+di+Novacella,contatti.xml
IT-BZ0111,1,e-mail,bibliothek.feldthurns@brennercom.net,contatti.xml
IT-BZ0111,2,pec,feldthurns.velturno@legalmail.it,contatti.xml
IT-BZ0111,3,telefono,+39 047245237,contatti.xml
IT-BZ0111,4,url,www.comune.velturno.bz.it/it/Biblioteca_di_Velturno_2,contatti.xml
IT-BZ0111,5,url,https://biblio.bz.it/velturno/,contatti.xml
IT-BZ0112,1,e-mail,bibliothek@niederdorf.eu,contatti.xml
IT-BZ0112,2,pec,niederdorf.villabassa@legalmail.it,contatti.xml
IT-BZ0112,3,telefono,+39 0474862330,contatti.xml
IT-BZ0112,4,url,https://www.villabassa.eu/it/Biblioteca_pubblica,contatti.xml
IT-BZ0112,5,url,www.facebook.com/Bibliothek.Niederdorf/,contatti.xml
IT-BZ0113,1,e-mail,bibliothek@sterzing.eu,contatti.xml
IT-BZ0113,2,pec,sterzing.vipiteno@legalmail.it,contatti.xml
IT-BZ0113,3,telefono,+39 0472767235,contatti.xml
IT-BZ0113,4,telefono,+39 0472723760,contatti.xml
IT-BZ0113,5,url,https://www.vipiteno.eu/it/Biblioteca_Civica_6,contatti.xml
IT-BZ0113,6,url,https://biblio.bz.it/vipiteno/,contatti.xml
IT-BZ0115,1,e-mail,verwaltung@tessmann.it,contatti.xml
IT-BZ0115,2,fax,+39 0471276115,contatti.xml
IT-BZ0115,3,telefono,+39 0471271872,contatti.xml
IT-BZ0115,4,url,https://www.tessmann.it/it/home.html,contatti.xml
IT-BZ0117,1,telefono,+39 0471976509,contatti.xml
IT-BZ0118,1,telefono,+39 0471908259,contatti.xml
IT-BZ0121,1,e-mail,bibliothek@gemeinde.bruneck.bz.it,contatti.xml
IT-BZ0121,2,fax,+39 0474554292,contatti.xml
IT-BZ0121,3,telefono,+39 047455400,contatti.xml
IT-BZ0121,4,url,www.bibliotecacivica-brunico.it,contatti.xml
IT-BZ0121,5,url,www.facebook.com/Stadtbibliothek.Bruneck,contatti.xml
IT-BZ0122,1,e-mail,bibliothek@kaltern.eu,contatti.xml
IT-BZ0122,2,telefono,+39 0471964814,contatti.xml
IT-BZ0124,1,telefono,+39 0472847587,contatti.xml
IT-BZ0126,1,e-mail,bibliothek@ahrntal.eu,contatti.xml
IT-BZ0126,2,pec,ahrntal.valleaurina@legalmail.it,contatti.xml
IT-BZ0126,3,telefono,+39 0474680051,contatti.xml
IT-BZ0126,4,url,https://biblio.bz.it/ahrntal/de-de/%C3%9Cber-uns/Leihstellen,contatti.xml
IT-BZ0127,1,telefono,+39 0473923323,contatti.xml
IT-BZ0128,1,e-mail,bibliothek@tramin.eu,contatti.xml
IT-BZ0128,2,pec,tramin.termeno@legalmail.it,contatti.xml
IT-BZ0128,3,telefono,+39 0471861098,contatti.xml
IT-BZ0128,4,url,https://biblio.bz.it/termeno,contatti.xml
IT-BZ0128,5,url,https://www.facebook.com/OffentlicheBibliothekTramin/,contatti.xml
IT-BZ0128,6,url,www.comune.termeno.bz.it/it/Amministrazione/Strutture/Biblioteca,contatti.xml
IT-BZ0129,1,e-mail,bibliothek.leifers@rolmail.net,contatti.xml
IT-BZ0129,2,pec,leifers.laives@legalmail.it,contatti.xml
IT-BZ0129,3,url,https://biblio.bz.it/laives,contatti.xml
IT-BZ0129,4,url,https://www.facebook.com/profile.php?id=100015119910255,contatti.xml
IT-BZ0129,5,url,https://www.comune.laives.bz.it/it/Deutsche_Bibliothek_Leifers,contatti.xml
IT-BZ0131,1,e-mail,marlene_ladurner@hotmail.com,contatti.xml
IT-BZ0131,2,telefono,+39 0471678456,contatti.xml
IT-BZ0131,3,telefono,+39 3499944638,contatti.xml
IT-BZ0132,1,e-mail,info@bibliolaives.it,contatti.xml
IT-BZ0132,2,pec,centrodonbosco@arubapec.it,contatti.xml
IT-BZ0132,3,telefono,+39 0471952627,contatti.xml
IT-BZ0132,4,url,https://www.bibliolaives.it/it/,contatti.xml
IT-BZ0133,1,e-mail,bibliothek@gais.eu,contatti.xml
IT-BZ0134,1,e-mail,info@bibliothek-lana.bz.it,contatti.xml
IT-BZ0134,2,pec,Lana@legalmail.it,contatti.xml
IT-BZ0134,3,telefono,+39 0471564511,contatti.xml
IT-BZ0134,4,url,https://www.comune.lana.bz.it/it/Amministrazione/Strutture/Biblioteca,contatti.xml
IT-BZ0134,5,url,http://www.bibliothek-lana.bz.it/,contatti.xml
IT-BZ0136,1,e-mail,bibliothek@gais.eu,contatti.xml
IT-BZ0136,2,pec,gais@legalmail.it,contatti.xml
IT-BZ0136,3,telefono,+39 0474505094,contatti.xml
IT-BZ0136,4,url,https://biblio.bz.it/gais/de-de/,contatti.xml
IT-BZ0137,1,e-mail,bibliothek@gais.eu,contatti.xml
IT-BZ0137,2,pec,gais@legalmail.it,contatti.xml
IT-BZ0137,3,telefono,+39 0474504539,contatti.xml
IT-BZ0137,4,url,https://biblio.bz.it/gais/de-de/Zweigstelle-Uttenheim-M%C3%BChlbach,contatti.xml
IT-BZ0138,1,e-mail,info@stadtpfarre-meran.it,contatti.xml
IT-BZ0138,2,telefono,+39 0473230174,contatti.xml
IT-BZ0139,1,e-mail,anni.peschel@gmail.com,contatti.xml
IT-BZ0139,2,pec,meran.merano@legalmail.it,contatti.xml
IT-BZ0139,3,telefono,+39 0473237239,contatti.xml
IT-BZ0139,4,url,https://www.gemeinde.meran.bz.it/de/Oeffentliche_Bibliothek_der_Pfarren_von_Meran,contatti.xml
IT-BZ0140,1,e-mail,anni.peschel@gmail.com,contatti.xml
IT-BZ0142,1,e-mail,bibliothek.moos@yahoo.de,contatti.xml
IT-BZ0142,2,pec,moos.moso@legalmail.it,contatti.xml
IT-BZ0142,3,telefono,+39 0473643846,contatti.xml
IT-BZ0142,4,telefono,+39 0473861190,contatti.xml
IT-BZ0142,5,url,https://www.comune.mosoinpassiria.bz.it/it/Biblioteca_Stulles,contatti.xml
IT-BZ0142,6,url,https://biblio.bz.it/moos/Bibliotheken/Stuls,contatti.xml
IT-BZ0144,1,e-mail,bibliothek.moos@yahoo.de,contatti.xml
IT-BZ0144,2,pec,moos.moso@legalmail.it,contatti.xml
IT-BZ0144,3,telefono,+39 0473861170,contatti.xml
IT-BZ0144,4,url,https://biblio.bz.it/moos/Bibliotheken/Pfelders,contatti.xml
IT-BZ0144,5,url,www.comune.mosoinpassiria.bz.it/system/web/veranstaltungsstaette.aspx?sprache=3&menuonr=219369634&detailonr=221074464#vastaette_valist,contatti.xml
IT-BZ0145,1,e-mail,bibliothek.moos@yahoo.de,contatti.xml
IT-BZ0145,2,pec,moos.moso@legalmail.it,contatti.xml
IT-BZ0145,3,telefono,+39 0473861160,contatti.xml
IT-BZ0145,4,url,https://www.comune.mosoinpassiria.bz.it/it/Biblioteca_Plata,contatti.xml
IT-BZ0145,5,url,https://biblio.bz.it/moos/Bibliotheken/Platt,contatti.xml
IT-BZ0146,1,e-mail,bibliothek.moos@yahoo.de,contatti.xml
IT-BZ0146,2,pec,moos.moso@legalmail.it,contatti.xml
IT-BZ0146,3,telefono,+39 0473643537,contatti.xml
IT-BZ0146,4,telefono,+39 3409286230,contatti.xml
IT-BZ0146,5,url,https://www.comune.mosoinpassiria.bz.it/system/web/veranstaltungsstaette.aspx?sprache=3&menuonr=219369634&detailonr=221074461,contatti.xml
IT-BZ0146,6,url,https://biblio.bz.it/moso,contatti.xml
IT-BZ0147,1,e-mail,bibliothek@gemeinde.luesen.bz.it,contatti.xml
IT-BZ0147,2,pec,luesen.luson@legalmail.it,contatti.xml
IT-BZ0147,3,telefono,+39 0472413728,contatti.xml
IT-BZ0147,4,url,https://biblio.bz.it/luson,contatti.xml
IT-BZ0147,5,url,https://www.comune.luson.bz.it/system/web/gelbeseite.aspx?detailonr=225201863&sprache=3&menuonr=219437564&noseo=1,contatti.xml
IT-BZ0148,1,e-mail,bibliothek-girlan@rolmail.net,contatti.xml
IT-BZ0149,1,e-mail,bibliothek.frangart@hotmail.com,contatti.xml
IT-BZ0150,1,e-mail,gundica@gmx.net,contatti.xml
IT-BZ0150,2,pec,margreid.magre@legalmail.it,contatti.xml
IT-BZ0150,3,telefono,+39 0471817165,contatti.xml
IT-BZ0150,4,url,https://www.comune.magre.bz.it/it/Biblioteca_pubblica,contatti.xml
IT-BZ0150,5,url,http://biblio.bz.it/margreid,contatti.xml
IT-BZ0151,1,e-mail,bibliothek.lajen@rolmail.net,contatti.xml
IT-BZ0151,2,pec,lajen.laion@legalmail.it,contatti.xml
IT-BZ0151,3,telefono,+39 0471655518,contatti.xml
IT-BZ0151,4,telefono,+39 3331947795,contatti.xml
IT-BZ0151,5,url,https://biblio.bz.it/laion,contatti.xml
IT-BZ0152,1,e-mail,andrea.vieider@hotmail.de,contatti.xml
IT-BZ0153,1,e-mail,andrea.vieider@hotmail.de,contatti.xml
IT-BZ0154,1,telefono,+39 0471365487,contatti.xml
IT-BZ0155,1,e-mail,andrea.vieider@hotmail.de,contatti.xml
IT-BZ0155,2,pec,karneid.cornedo@legalmail.it,contatti.xml
IT-BZ0155,3,url,https://www.comune.cornedo.bz.it/it/Biblioteca_Collepietra,contatti.xml
IT-BZ0156,1,e-mail,bibliothek@gemeinde.partschins.bz.it,contatti.xml
IT-BZ0156,2,pec,partschins.parcines@legalmail.it,contatti.xml
IT-BZ0156,3,telefono,+39 0473967098,contatti.xml
IT-BZ0156,4,url,https://www.comune.parcines.bz.it/system/web/gemeindebetrieb.aspx?menuonr=220020627&detailonr=220020626&sprache=3,contatti.xml
IT-BZ0156,5,url,https://biblio.bz.it/parcines,contatti.xml
IT-BZ0157,1,e-mail,bibliothek@rasen-antholz.eu,contatti.xml
IT-BZ0157,2,fax,+39 0474498145,contatti.xml
IT-BZ0157,3,pec,gemeinde@romanbergen.at,contatti.xml
IT-BZ0157,4,telefono,+39 0474497250,contatti.xml
IT-BZ0157,5,url,https://biblio.bz.it/rasunanterselva/Succursali,contatti.xml
IT-BZ0157,6,url,https://www.comune.rasunanterselva.bz.it/it/Biblioteca_succursale_Anterselva_di_Sotto,contatti.xml
IT-BZ0158,1,fax,+39 0471280092,contatti.xml
IT-BZ0158,2,telefono,+39 0471273023,contatti.xml
IT-BZ0160,1,fax,+39 0471980011,contatti.xml
IT-BZ0160,2,telefono,+39 0471978141,contatti.xml
IT-BZ0161,1,e-mail,biblioteca@aias-bz.it,contatti.xml
IT-BZ0161,2,fax,+39 0471284125,contatti.xml
IT-BZ0161,3,telefono,+39 0471284125,contatti.xml
IT-BZ0161,4,url,https://www.aiasbolzano.it/la-biblioteca/,contatti.xml
IT-BZ0163,1,e-mail,biblioteca.civica@comune.bolzano.it,contatti.xml
IT-BZ0163,2,pec,bz@legalmail.it,contatti.xml
IT-BZ0163,3,telefono,+39 0471997937,contatti.xml
IT-BZ0163,4,url,http://www.comune.bolzano.it/cultura_sotto_context.jsp?ID_LINK=1045&area=143,contatti.xml
IT-BZ0164,1,e-mail,biblioteca.civica@comune.bolzano.it,contatti.xml
IT-BZ0164,2,pec,bz@legalmail.it,contatti.xml
IT-BZ0164,3,telefono,+39 0471204994,contatti.xml
IT-BZ0164,4,url,http://www.comune.bolzano.it/cultura_sotto_context.jsp?ID_LINK=1046&area=143,contatti.xml
IT-BZ0165,1,telefono,+39 0471912089,contatti.xml
IT-BZ0166,1,e-mail,biblioteca.civica@comune.bolzano.it,contatti.xml
IT-BZ0166,2,telefono,+39 0471284449,contatti.xml
IT-BZ0167,1,e-mail,biblioteca.civica@comune.bolzano.it,contatti.xml
IT-BZ0167,2,pec,bz@legalmail.it,contatti.xml
IT-BZ0167,3,telefono,+39 0471997935,contatti.xml
IT-BZ0167,4,url,http://www.comune.bolzano.it/cultura_sotto_context.jsp?ID_LINK=1044&area=143,contatti.xml
IT-BZ0168,1,e-mail,volksbibliothek.stilfes@rolmail.net,contatti.xml
IT-BZ0168,2,telefono,+39 0472647498,contatti.xml
IT-BZ0169,1,e-mail,bibliothek@gemeinde.natz-schabs.bz.it,contatti.xml
IT-BZ0169,2,pec,natzschabs.nazsciaves@legalmail.it,contatti.xml
IT-BZ0169,3,telefono,+39 0472412156,contatti.xml
IT-BZ0170,1,e-mail,bibliothek@gemeinde.natz-schabs.bz.it,contatti.xml
IT-BZ0170,2,pec,natzschabs.nazsciaves@legalmail.it,contatti.xml
IT-BZ0170,3,telefono,+39 0472412549,contatti.xml
IT-BZ0170,4,url,https://biblio.bz.it/nazsciaves,contatti.xml
IT-BZ0172,1,e-mail,bibliothek@muehlbach.it,contatti.xml
IT-BZ0172,2,pec,info@comune.riodipusteria.bz.it,contatti.xml
IT-BZ0172,3,telefono,+39 0472941097,contatti.xml
IT-BZ0172,4,telefono,+39 0472849489,contatti.xml
IT-BZ0172,5,url,https://biblio.bz.it/muehlbach/,contatti.xml
IT-BZ0172,6,url,www.comune.riodipusteria.bz.it/it/Biblioteca_Spinga,contatti.xml
IT-BZ0173,1,e-mail,bibliothek@muehlbach.it,contatti.xml
IT-BZ0173,2,pec,muehlbach.riodipusteria@legalmail.it,contatti.xml
IT-BZ0173,3,telefono,+39 0472941093,contatti.xml
IT-BZ0173,4,url,https://biblio.bz.it/riodipusteria,contatti.xml
IT-BZ0173,5,url,www.comune.riodipusteria.bz.it/it/Biblioteca_Maranza_12,contatti.xml
IT-BZ0174,1,e-mail,otto@gemeinde.terlan.bz.it,contatti.xml
IT-BZ0174,2,pec,terlan.terlano@legalmail.it,contatti.xml
IT-BZ0174,3,telefono,+39 0471678833,contatti.xml
IT-BZ0174,4,url,https://www.gemeinde.terlan.bz.it/it/Biblioteca_pubblica_Vilpiano_1,contatti.xml
IT-BZ0175,1,e-mail,otto@gemeinde.terlan.bz.it,contatti.xml
IT-BZ0175,2,pec,terlan.terlano@legalmail.it,contatti.xml
IT-BZ0175,3,telefono,+39 0471518028,contatti.xml
IT-BZ0175,4,url,www.gemeinde.terlan.bz.it/it/Biblioteca_pubblica_Settequerce_1,contatti.xml
IT-BZ0176,1,e-mail,bibliothek.stvalentin@rolmail.net,contatti.xml
IT-BZ0176,2,pec,graun.curon@legalmail.it,contatti.xml
IT-BZ0176,3,url,https://www.comune.curon.bz.it/system/web/gelbeseite.aspx?sprache=3&typ=7&letter=ALLE&detailonr=223713033-831&branche=93&menuonr=218885459,contatti.xml
IT-BZ0177,1,e-mail,bibliothek.stvalentin@rolmail.net,contatti.xml
IT-BZ0177,2,pec,graun.curon@legalmail.it,contatti.xml
IT-BZ0177,3,url,https://www.comune.curon.bz.it/system/web/gelbeseite.aspx?sprache=3&typ=7&letter=ALLE&detailonr=223713033-831&branche=93&menuonr=218885459,contatti.xml
IT-BZ0178,1,e-mail,bibliothek.stvalentin@rolmail.net,contatti.xml
IT-BZ0178,2,pec,graun.curon@legalmail.it,contatti.xml
IT-BZ0178,3,url,https://www.comune.curon.bz.it/system/web/gelbeseite.aspx?sprache=3&typ=7&letter=ALLE&detailonr=223713033-831&branche=93&menuonr=218885459,contatti.xml
IT-BZ0179,1,e-mail,bibliothek.stvalentin@rolmail.net,contatti.xml
IT-BZ0179,2,pec,graun.curon@legalmail.it,contatti.xml
IT-BZ0179,3,url,https://www.comune.curon.bz.it/system/web/gelbeseite.aspx?sprache=3&typ=7&letter=ALLE&detailonr=223713033-831&branche=93&menuonr=218885459,contatti.xml
IT-BZ0180,1,e-mail,hainz.franziska@gmail.com,contatti.xml
IT-BZ0180,2,url,https://vymaps.com/IT/Biblioteca-Pubblica-della-Parrocchia-di-San-Giorgio-Sezione-di-Villa-Santa-Caterina--ffentliche-Bibliothek-St-Georgen-Zweigstelle-Aufhofen-410995/,contatti.xml
IT-BZ0181,1,e-mail,hainz.franziska@gmail.com,contatti.xml
IT-BZ0181,2,telefono,+39 0474550463,contatti.xml
IT-BZ0182,1,e-mail,bibliothek.seis@rolmail.net,contatti.xml
IT-BZ0182,2,telefono,+39 0471708043,contatti.xml
IT-BZ0182,3,url,https://www.comune.castelrotto.bz.it/it/Amministrazione/Strutture/Biblioteca_di_Siusi,contatti.xml
IT-BZ0183,1,e-mail,info@bibliothek.kastelruth.it,contatti.xml
IT-BZ0183,2,fax,+39 0471710931,contatti.xml
IT-BZ0183,3,pec,kastelruth.castelrotto@legalmail.it,contatti.xml
IT-BZ0183,4,telefono,+39 0471706363,contatti.xml
IT-BZ0183,5,telefono,+39 0471708023,contatti.xml
IT-BZ0183,6,url,https://www.comune.castelrotto.bz.it/it/Amministrazione/Strutture/Biblioteca_di_Castelrotto,contatti.xml
IT-BZ0184,1,e-mail,bib.kastelbelltschars@gmail.com,contatti.xml
IT-BZ0185,1,e-mail,bibliothek.montan@virgilio.it,contatti.xml
IT-BZ0185,2,telefono,+39 0471819040,contatti.xml
IT-BZ0185,3,url,https://www.montan.eu/it/Biblioteca_pubblica_di_Montagna,contatti.xml
IT-BZ0185,4,url,https://www.facebook.com/bibliothek.montan/,contatti.xml
IT-BZ0185,5,url,biblio.bz.it/montagna,contatti.xml
IT-BZ0186,1,e-mail,bibliothek@gemeinde.glurns.bz.it,contatti.xml
IT-BZ0186,2,telefono,+39 047381327,contatti.xml
IT-BZ0187,1,e-mail,bibliothek.gargazon@gmail.com,contatti.xml
IT-BZ0187,2,telefono,+39 0473292376,contatti.xml
IT-BZ0188,1,e-mail,biblio@gemeinde.pfatten.bz.it,contatti.xml
IT-BZ0188,2,pec,pfatten.vadena@legalmail.it,contatti.xml
IT-BZ0188,3,telefono,+39 0471950685,contatti.xml
IT-BZ0188,4,telefono,+39 0471954083,contatti.xml
IT-BZ0188,5,url,https://www.comune.vadena.bz.it/system/web/gelbeseite.aspx?menuonr=221104619&detailonr=220379050&sprache=3&bezirkonr=0&menuonr=220307425,contatti.xml
IT-BZ0189,1,e-mail,biblio@brixen.it,contatti.xml
IT-BZ0190,1,e-mail,biblio@brixen.it,contatti.xml
IT-BZ0191,1,e-mail,biblio@brixen.it,contatti.xml
IT-BZ0191,2,fax,+39 0472832453,contatti.xml
IT-BZ0191,3,telefono,+39 0472835246,contatti.xml
IT-BZ0192,1,e-mail,bibliothek.vintl@brennercom.net,contatti.xml
IT-BZ0192,2,pec,vintl.vandoies@legalmail.it,contatti.xml
IT-BZ0192,3,telefono,+39 0472548289,contatti.xml
IT-BZ0192,4,url,http://biblio.bz.it/vintl,contatti.xml
IT-BZ0192,5,url,www.comune.vandoies.bz.it/it/Amministrazione/Strutture/Biblioteca_pubblica_di_Vallarga,contatti.xml
IT-BZ0193,1,e-mail,bibliothek.vintl@brennercom.net,contatti.xml
IT-BZ0193,2,pec,vintl.vandoies@legalmail.it,contatti.xml
IT-BZ0193,3,telefono,+39 0472549280,contatti.xml
IT-BZ0193,4,url,www.comune.vandoies.bz.it/it/Amministrazione/Strutture/Biblioteca_pubblica_di_Fundres,contatti.xml
IT-BZ0194,1,e-mail,bibliothek.vintl@brennercom.net,contatti.xml
IT-BZ0194,2,pec,vintl.vandoies@legalmail.it,contatti.xml
IT-BZ0194,3,telefono,+39 0472548137,contatti.xml
IT-BZ0194,4,url,http://biblio.bz.it/vintl,contatti.xml
IT-BZ0194,5,url,https://www.comune.vandoies.bz.it/it/Amministrazione/Strutture/Biblioteca_pubblica_di_Vandoies_di_Sopra,contatti.xml
IT-BZ0195,1,e-mail,bibliothek.vintl@brennercom.net,contatti.xml
IT-BZ0195,2,pec,vintl.vandoies@legalmail.it,contatti.xml
IT-BZ0195,3,telefono,+39 0472869011,contatti.xml
IT-BZ0195,4,telefono,+39 0472868598,contatti.xml
IT-BZ0195,5,url,https://biblio.bz.it/vandoies,contatti.xml
IT-BZ0195,6,url,www.comune.vandoies.bz.it/it/Biblioteca_pubblica_di_Vandoies_di_Sotto,contatti.xml
IT-BZ0196,1,e-mail,biblio@brixen.it,contatti.xml
IT-BZ0197,1,e-mail,bibliothek@welschnofen.eu,contatti.xml
IT-BZ0197,2,pec,welschnofen.novalevante@legalmail.it,contatti.xml
IT-BZ0197,3,telefono,+39 0471613156,contatti.xml
IT-BZ0197,4,url,https://biblio.bz.it/novalevante/,contatti.xml
IT-BZ0197,5,url,https://www.facebook.com/BibliothekWelschnofenVinzenzNiederwolfsgruber/,contatti.xml
IT-BZ0198,1,e-mail,bibliothek.villanders@rolmail.net,contatti.xml
IT-BZ0198,2,pec,villanders.villandro@legalmail.it,contatti.xml
IT-BZ0198,3,telefono,+39 0472843189,contatti.xml
IT-BZ0198,4,telefono,+39 0472671281,contatti.xml
IT-BZ0198,5,url,www.comune.villandro.bz.it/it/Biblioteca,contatti.xml
IT-BZ0198,6,url,https://biblio.bz.it/villandro,contatti.xml
IT-BZ0199,1,telefono,+39 0472833950,contatti.xml
IT-BZ0200,1,e-mail,bibliothek@aldein.eu,contatti.xml
IT-BZ0202,1,e-mail,bibliothek-tiers@rolmail.net,contatti.xml
IT-BZ0202,2,pec,tiers.tires@legalmail.it,contatti.xml
IT-BZ0202,3,telefono,+39 3664611691,contatti.xml
IT-BZ0202,4,url,www.comune.tires.bz.it/it/Biblioteca_pubblica_Tires_1,contatti.xml
IT-BZ0202,5,url,https://biblio.bz.it/tires/,contatti.xml
IT-BZ0203,1,e-mail,bibliothek.terenten@rolmail.net,contatti.xml
IT-BZ0203,2,pec,terenten.terento@legalmail.it,contatti.xml
IT-BZ0203,3,telefono,+39 0472546101,contatti.xml
IT-BZ0203,4,telefono,+39 0472544025,contatti.xml
IT-BZ0203,5,url,https://biblio.bz.it/terenten,contatti.xml
IT-BZ0203,6,url,https://www.comune.terento.bz.it/system/web/gelbeseite.aspx?menuonr=219102201&detailonr=224976944&sprache=3,contatti.xml
IT-BZ0204,1,telefono,+39 0472766648,contatti.xml
IT-BZ0205,1,e-mail,bibliothek@gemeinde.schluderns.bz.it,contatti.xml
IT-BZ0205,2,pec,schluderns.sluderno@legalmail.it,contatti.xml
IT-BZ0205,3,telefono,+39 047375822,contatti.xml
IT-BZ0205,4,url,www.comune.sluderno.bz.it/de/Verwaltung/Einrichtungen/Oeffentliche_Bibliothek,contatti.xml
IT-BZ0205,5,url,https://biblio.bz.it/sluderno/,contatti.xml
IT-BZ0206,1,e-mail,bibliothek.tscherms@gmail.com,contatti.xml
IT-BZ0207,1,e-mail,bibliothek@vahrn.eu,contatti.xml
IT-BZ0207,2,telefono,+39 0472976924,contatti.xml
IT-BZ0207,3,url,https://biblio.bz.it/varna/Su-di-noi/Punti-di-prestito,contatti.xml
IT-BZ0208,1,e-mail,bibliothek@vahrn.eu,contatti.xml
IT-BZ0208,2,pec,vahrn.varna@legalmail.it,contatti.xml
IT-BZ0208,3,url,https://biblio.bz.it/varna,contatti.xml
IT-BZ0208,4,url,www.varna.eu/it/Biblioteca_di_Varna_4,contatti.xml
IT-BZ0209,1,e-mail,bibliothek@vahrn.eu,contatti.xml
IT-BZ0209,2,pec,vahrn.varna@legalmail.it,contatti.xml
IT-BZ0209,3,telefono,+39 0472976923,contatti.xml
IT-BZ0209,4,url,https://biblio.bz.it/varna/,contatti.xml
IT-BZ0209,5,url,www.varna.eu/it/Biblioteca_di_Varna,contatti.xml
IT-BZ0211,1,e-mail,bibliothek@ritten.eu,contatti.xml
IT-BZ0211,2,pec,ritten.renon@legalmail.it,contatti.xml
IT-BZ0211,3,url,https://www.renon.eu/it/Biblioteca_pubblica_Soprabolzano_1,contatti.xml
IT-BZ0212,1,e-mail,bibliothek@ritten.eu,contatti.xml
IT-BZ0212,2,pec,ritten.renon@legalmail.it,contatti.xml
IT-BZ0212,3,url,https://www.renon.eu/it/Biblioteca_pubblica_Auna_di_Sopra_2,contatti.xml
IT-BZ0214,1,e-mail,bibliothek@ritten.eu,contatti.xml
IT-BZ0214,2,pec,ritten.renon@legalmail.it,contatti.xml
IT-BZ0214,3,url,https://www.renon.eu/it/Biblioteca_pubblica_Auna_di_Sotto,contatti.xml
IT-BZ0215,1,e-mail,bibliothek@schenna.eu,contatti.xml
IT-BZ0215,2,pec,schenna.scena@legalmail.it,contatti.xml
IT-BZ0215,3,url,www.comune.scena.bz.it/system/web/veranstaltungsstaette.aspx?detailonr=225044346&menuonr=219509703&sprache=3,contatti.xml
IT-BZ0215,4,url,https://biblio.bz.it/scena,contatti.xml
IT-BZ0216,1,e-mail,bibliothek@sandintaufers.eu,contatti.xml
IT-BZ0216,2,telefono,+39 0474679180,contatti.xml
